unit_type,u,grat_contrast,grat_orientation,response,smoothed_response
excit,9,1.0,75,0.002964218013888889,0.0028237420416666664
excit,9,1.0,90,0.0033070516666666664,0.0032470586944444444
excit,9,1.0,105,0.00250901225,0.002330629652777778
excit,9,1.0,120,0.0024072805972222226,0.0022467748888888887
excit,9,1.0,135,0.002223221972222222,0.0021494025694444446
excit,9,1.0,150,0.0018344135833333335,0.0018215418472222224
excit,9,1.0,165,0.0018940301944444446,0.0017965148333333335
excit,11,0.0,0,0.0018819852083333333,0.0019628802916666667
excit,11,0.0,15,0.0029604156875,0.0030607023958333333
excit,11,0.0,30,0.0027345005416666668,0.002774328333333333
excit,11,0.0,45,0.0025195197291666667,0.0026300425208333335
excit,11,0.0,60,0.0023024756458333334,0.002387677333333333
excit,11,0.0,75,0.0026706825208333332,0.0027811753125
excit,11,0.0,90,0.002950181520833333,0.003106113791666667
excit,11,0.0,105,0.0025800588958333334,0.0027053113541666667
excit,11,0.0,120,0.002758498020833333,0.002796556416666667
excit,11,0.0,135,0.002307048416666667,0.002481741416666667
excit,11,0.0,150,0.002201062041666667,0.002334471375
excit,11,0.0,165,0.0029411719583333335,0.0030348598333333333
excit,11,0.0432773,0,0.0025597850624999997,0.0027234656666666663
excit,11,0.0432773,15,0.0022070960833333333,0.0023476713958333335
excit,11,0.0432773,30,0.0024727415,0.0026758503958333336
excit,11,0.0432773,45,0.0024295415,0.0025975449583333335
excit,11,0.0432773,60,0.0026291058124999996,0.0029210532708333335
excit,11,0.0432773,75,0.0024605604791666665,0.002504262729166667
excit,11,0.0432773,90,0.0033136809583333335,0.0032897721041666664
excit,11,0.0432773,105,0.0030035055625,0.0031304287083333336
excit,11,0.0432773,120,0.0023570438958333334,0.0025310417708333333
excit,11,0.0432773,135,0.002457257479166667,0.002627894875
excit,11,0.0432773,150,0.002752049666666667,0.002804838541666667
excit,11,0.0432773,165,0.001725716625,0.001963546375
excit,11,0.103411,0,0.00255718625,0.0027690274375
excit,11,0.103411,15,0.002699301083333333,0.0028384848125
excit,11,0.103411,30,0.0028694159375,0.0028281235416666665
excit,11,0.103411,45,0.0020943861875,0.0025604824583333333
excit,11,0.103411,60,0.0021987388333333333,0.0024500962083333334
excit,11,0.103411,75,0.0029877108958333335,0.002967094
excit,11,0.103411,90,0.003146577083333333,0.003319989104166667
excit,11,0.103411,105,0.002923546229166667,0.0030208345208333335
excit,11,0.103411,120,0.0028795494791666668,0.0029933375833333335
excit,11,0.103411,135,0.002334445729166667,0.0025793254375
excit,11,0.103411,150,0.0029726466041666666,0.0031783588333333334
excit,11,0.103411,165,0.00314842875,0.0031348843750000003
excit,11,0.186966,0,0.0034112485833333334,0.003499780020833333
excit,11,0.186966,15,0.0029846818333333336,0.0031095351666666667
excit,11,0.186966,30,0.0034344125624999997,0.0035773736875
excit,11,0.186966,45,0.003860867479166667,0.003918759895833333
excit,11,0.186966,60,0.004023110145833333,0.004019927145833334
excit,11,0.186966,75,0.0036548221458333335,0.0035086237500000002
excit,11,0.186966,90,0.0034737214791666668,0.0034913386041666664
excit,11,0.186966,105,0.0039672672916666665,0.004073776895833333
excit,11,0.186966,120,0.0035757276041666667,0.0035159779166666666
excit,11,0.186966,135,0.0037974628749999997,0.0036838573750000003
excit,11,0.186966,150,0.0039013235416666668,0.0038486169166666666
excit,11,0.186966,165,0.0030120007291666666,0.0030429953958333333
excit,11,0.303066,0,0.003771235125,0.0038057963958333333
excit,11,0.303066,15,0.004049995708333334,0.003981708625
excit,11,0.303066,30,0.004555434958333333,0.0044710487500000005
excit,11,0.303066,45,0.0044861669583333335,0.004468070770833333
excit,11,0.303066,60,0.004224639416666666,0.004124673791666667
excit,11,0.303066,75,0.004452439791666666,0.004417643625
excit,11,0.303066,90,0.004812214791666667,0.004859108916666666
excit,11,0.303066,105,0.004138288145833334,0.004126500875
excit,11,0.303066,120,0.0044568956249999995,0.0045876513125
excit,11,0.303066,135,0.00451829125,0.004614309354166667
excit,11,0.303066,150,0.004430657145833333,0.004190550833333333
excit,11,0.303066,165,0.004226738333333333,0.004300680416666667
excit,11,0.464386,0,0.00438872075,0.004387600791666666
excit,11,0.464386,15,0.004875670229166667,0.0048070333125
excit,11,0.464386,30,0.004801830854166667,0.004815257520833334
excit,11,0.464386,45,0.005350716229166667,0.005408211958333333
excit,11,0.464386,60,0.0051177336875,0.005040045
excit,11,0.464386,75,0.005224767729166666,0.005274523791666667
excit,11,0.464386,90,0.005856791458333333,0.005741379020833333
excit,11,0.464386,105,0.006018590833333334,0.0058189104166666665
excit,11,0.464386,120,0.005151485625,0.005193844729166667
excit,11,0.464386,135,0.005876222104166666,0.005899152583333333
excit,11,0.464386,150,0.006096091041666667,0.005877492583333334
excit,11,0.464386,165,0.005217069020833333,0.005280406041666667
